KEY,NAME,EPIC_KEY,LONGNAME,GENERIC_NAME,UNITS,FORMAT,COMMENTS
86,SVA,SVA_86,"SP VOL ANOM, 1E-8 M**3/KG", ,m3 kg-1, ,
90,BV ,BV_90,BVF (CPH)                , , , ,Brunt Vaisala Frequency
91,BV2,BV2_91,BVF SQUARED (CPH**2)     , , , ,Brunt Vaisala Frequency squared (N*ABS(N))
92,R  ,R_92,RADIUS OF DEFORM         , , , ,Integral bvf*dz/pi*f
93,RI ,RI_93,RICHARDSONS NUMBER       , , , ,
100,SN ,SN_100,SCAN NUMBER              , , , ,
101,FS ,FS_101,FRAME SYNC               , , , ,FOR TOPS
102,CL ,CL_102,PTG CLOCK WORD           , , , ,
103,BTL,BTL_103,NISKIN BOTTLE NUMBER     , , , ,For Bottle files
104,IQ ,IQ_104,WOCE QUALITY NUMBER      , , , ,See WOCE Document
105,NAV,NAV_105,NUMBER POINTS IN AVERAGE , , , ,
106,BAT,BAT_106,BATTERY VOLTAGE          ,bat,volts,f6.2,
107,TRN,TRN_107,TRANSMISSOMETER VOLTAGE 7, , , ,for P18 CTD data set
110,OXC,OXC_110,OXYGEN CURRENT           , , , ,
111,OXT,OXT_111,OXYGEN TEMPERATURE       , , , ,
112,DOC,DOC_112,dOXC/dt                  , , , ,Time rate of change of Oxygen current
113,BAT1,BAT1_113,BATTERY VOLTAGE 1       ,bat,volts,f10.3,
114,BAT2,BAT2_114,BATTERY VOLTAGE 2       ,bat,volts,f10.3,
115,BAT3,BAT3_115,BATTERY VOLTAGE 3       ,bat,volts,f10.3,
120,T' ,T'_120,GRADIENT DT/DZ           , , , ,Program CTDGRD2
121,DZT,DZT_121,GRADIENT DZ/DT           , , , ,Program CTDGRD3
122,T'X,T'X_122,GRADIENT DT/DX           , , , ,X is longitude
123,T'Y,T'Y_123,GRADIENT DT/DY           , , , ,Y is latitude
124,UTX,UTX_124,U * dT/dx                , , , ,X is longitude
125,DZT,DZT_125,GRADIENT DZ/DT           , , , ,Program CTDGRD3
126,ADT,ADT_126,"AD TEMP GRAD,DEG-C/DB    ", , , ,
130,HTC,HTC_130,HEAT CONTENT (JOU/M**2)  , ,J m-2, ,
131,SpH,SpH_131,"SPECIFIC HEAT, J/KG-DEG-C", ,J kg-1 C-1, ,
132,Qs ,Qs_132,SHORTWAVE RADIATION      , ,cal day-1 cm-2, ,
133,Qs ,Qs_133,SHORTWAVE RADIATION      , ,W m-2, ,
134,HQ ,HQ_134,LOCAL HEATING            , , , ,
135,Ql ,Ql_135,LONGWAVE RADIATION       , ,cal day-1 cm-2, ,
136,Ql ,Ql_136,LONGWAVE RADIATION       , ,W m-2, ,
137,QH ,QH_137,LATENT HEAT              , ,W m-2, ,
138,QB ,QB_138,SENSIBLE HEAT            , ,W m-2, ,
140,QI ,QI_140,PENETRATIVE RADIA (PING) , , , ,
141,QT ,QT_141,QT=QS-QB-QE (PING)       , , , ,
142,QN ,QN_142,NET HEATING              , ,W m-2, ,
143,VMF,VMF_143,VERTICAL+MERID HEAT FLUX , ,W m-2, ,
144,ZMA,ZMA_144,ZONAL+MERID HEAT ADVECT  , ,W m-2, ,
145,VHF,VHF_145,VERTICAL HEAT FLUX       , ,W m-2, ,
146,MHF,MHF_146,MERIDIONAL HEAT FLUX     , ,W m-2, ,
147,ZHA,ZHA_147,ZONAL HEAT ADVECTION     , ,W m-2, ,
148,MHA,MHA_148,MERIDIONAL HEAT ADVECTION, ,W m-2, ,
150,FR ,FR_150,FREON                    , , , ,
152,NO3,NO3_152,NITRATE (MG AT/L)        ,NO3,mg at/l, ,
154,NO2,NO2_154,NITRITE (MG AT/L)        ,NO2,mg at/l, ,
156,PO4,PO4_156,PHOSPHATE (MG AT/L)      ,PO4,mg at/l, ,
157,Ptl,Ptl_157,TOTAL PHOSPHORUS         , ,mg at/l, ,J. Reid data 
158,SI ,SI_158,SILICATE (MG AT/L)       ,SiO4,mg at/l, ,mg at/l
159,pH ,pH_159,pH                       , , , ,J. Reid data
170,SPC,SPC_170,SPICE                    ,spc , , ,From Phyllis Stabeno (CTD data)
181,SI ,SI_181,SiO4                     ,SiO4,mg at/l, ,J.Murray 
182,NO3,NO3_182,NITRATE (micromoles/l)   ,NO3,uM/l, ,From Jim Murray
183,NO3w,NO3w_183,Nitrate in Water        ,NO3,umol/L, ,
184,NO2,NO2_184,NITRITE (micromoles/l)   ,NO2,uM/l, ,From Jim Murray
185,NN ,NN_185,Nitrate + Nitrite        ,NO2+NO3,umoles/l, ,Total nutrients
186,PO4,PO4_186,PHOSPHATE (micromoles/l) ,PO4,uM/l, ,From Jim Murray
187,UR ,UR_187,UREA (micromoles/l)      ,UR,uM/l, ,From Jim Murray
188,SI ,SI_188,SILICATE (micromoles/l)  ,SiO4,uM/l, ,From Jim Murray
189,NH4,NH4_189,AMMONIUM (micromoles/L)  ,NH4,umol/L, ,
200,DIS,DIS_200,VERTICAL DISPLACEMENT    , , , ,From mean CTD profile
205,SL ,SL_205,Sea Level                , ,mm, ,
206,SL_h,SL_h_206,SEA LEVEL (hourly)      ,SLh,m,f7.3,hourly insitu sea level values
207,SL_d,SL_d_207,SEA LEVEL (daily)       ,SLd,m,f7.3,daily insitu sea level values
208,SL_m,SL_m_208,SEA LEVEL (monthly)     ,SLm,m,f7.3,monthly insitu sea level values
210,SL ,SL_210,GEOSAT SEA LEVEL (M)     , ,m, ,Mean value over grid block
220,AZ ,AZ_220,AZIMUTH                  ,az,degrees,f8.2,measure of ice floe rotation
221,VAR,VAR_221,VARIANCE                 ,var,cm s-1, ,sqrt(u**2 + v**2) (current variance) 
250,GHR,GHR_250,GLOBAL HORIZNTL RADIATION,ghr,kJ s-2 d-1,f8.2,global horizontal radiation
251,PAR,PAR_251,PHOTOSYN ACTIVE RADIATION,par,M ph m-2 d-1,f5.2 ,photosynthetically active radiation
252,GHR,GHR_252,GLOBAL HORIZNTL RADIATION,ghr,W m-2,f8.2,global horizontal radiation
282,NO3,NO3_282,NITRATE (micromoles/kg)  ,NO3,uM/kg, ,From Jim Murray
284,NO2,NO2_284,NITRITE (micromoles/kg)  ,NO2,uM/kg, ,From Jim Murray
286,PO4,PO4_286,PHOSPHATE (micromoles/kg),PO4,uM/kg, ,From Jim Murray
287,UR ,UR_287,UREA (micromoles/kg)     ,UR,uM/kg, ,From Jim Murray
288,SI ,SI_288,SILICATE (micromoles/kg) ,SiO4,uM/kg, ,From Jim Murray
289,NH4,NH4_289,AMMONIUM (micromoles/kg) ,NH4,umol/kg, ,
300,CS ,CS_300,CURRENT SPEED (CM/S)      ,vspd,cm s-1,f8.2,oceanographic (going to)
301,BS ,BS_301,DRIFTER BUOY SPEED (M/S) , ,m s-1, ,"calculated from lat,lon"
302,BS ,BS_302,Drifter Buoy Speed (cm/s), ,cm s-1, ,"calculated from lat,lon"
310,CD ,CD_310,CURRENT DIRECTION (T)     ,vdir,degrees,f8.2,"oceanographic (going to), using true north"
311,BD ,BD_311,DRIFTER BUOY DIRECTION   , ,degrees, ,oceanographic (going to)
316,BU ,BU_316,Drifter Buoy u (cm/s)    ,u,cm s-1, ,"calculated from lat,lon"
317,BV ,BV_317,Drifter Buoy v (cm/s)    ,v,cm s-1, ,"calculated from lat,lon"
318,BU ,BU_318,DRIFTER BUOY U (M/S)     ,u,m s-1, ,"calculated from lat,lon"
319,BV ,BV_319,DRIFTER BUOY V (M/S)     ,v,m s-1, ,"calculated from lat,lon"
320,U  ,U_320,ZONAL CURRENT (CM/S)     ,u,cm s-1, ,measured w/r true N
321,V  ,V_321,MERIDIONAL CURRENT (CM/S),v,cm s-1, ,measured w/r true N
322,U  ,U_322,ZONAL CURRENT (CM/S)     ,u,cm s-1, ,relative w/r true N
323,V  ,V_323,MERIDIONAL CURRENT (CM/S),v,cm s-1, ,relative w/r true N
324,U  ,U_324,ZONAL CURRENT (CM/S)     ,u,cm s-1, ,instrument w/r true N
325,V  ,V_325,MERIDIONAL CURRENT (CM/S),v,cm s-1, ,instrument w/r true N
326,U  ,U_326,ZONAL CURRENT (CM/S)     ,u,cm s-1, ,tracked w/r true N
327,V  ,V_327,MERIDIONAL CURRENT (CM/S),v,cm s-1, ,tracked w/r true N
328,W  ,W_328,VERTICAL VELOCITY (CM/S) ,w,cm s-1, ,tracked TOPS
329,W  ,W_329,VERTICAL VELOCITY (CM/S) ,w,cm s-1,f8.2,
330,U  ,U_330,ZONAL CURRENT (CM/S)     ,u,cm s-1, ,measured w/r magnetic N
331,V  ,V_331,MERIDIONAL CURRENT (CM/S),v,cm s-1, ,measured w/r magnetic N
332,U  ,U_332,ZONAL CURRENT (CM/S)     ,u,cm s-1, ,relative w/r magnetic N
333,V  ,V_333,MERIDIONAL CURRENT (CM/S),v,cm s-1, ,relative w/r magnetic N
334,U  ,U_334,ZONAL CURRENT (CM/S)     ,u,cm s-1, ,instrument w/r magnetic N
335,V  ,V_335,MERIDIONAL CURRENT (CM/S),v,cm s-1, ,instrument w/r magnetic N
336,U  ,U_336,ZONAL CURRENT (CM/S)     ,u,cm s-1, ,tracked w/r magnetic N
337,V  ,V_337,MERIDIONAL CURRENT (CM/S),v,cm s-1, ,tracked w/r magnetic N
340,Ug ,Ug_340,GEOSTROPHIC ZONAL (CM/S) , ,cm s-1, ,geostrophic
341,Vg ,Vg_341,GEOSTR MERIDIONAL (CM/S) , ,cm s-1, ,geostrophic
342,Umg,Umg_342,Umodel-Ugeost (cm/s)     , ,cm s-1, ,
344,Ut ,Ut_344,TRACK NORMAL GEOST (CM/S),un,cm s-1, ,geostrophic vel normal to track
350,HX ,HX_350,COMPASS HX               , , , ,
351,HY ,HY_351,COMPASS HY               , , , ,
360,AX ,AX_360,ACCELERATION AX          , , , ,
361,AY ,AY_361,ACCELERATION AY          , , , ,
362,AU ,AU_362,ACCELERATION AU          , , , ,
363,AV ,AV_363,ACCELERATION AV          , , , ,
370,X  ,X_370,X POSITION IN NET        , , , ,tracked TOPS position
371,Y  ,Y_371,Y POSITION IN NET        , , , ,tracked TOPS position
372,Z  ,Z_372,Z POSITION IN NET        , , , ,tracked TOPS position
375,U1 ,U1_375,U Tidal Amplitude (CM/S) species1,u1,cm s-1, ,measured w/r true N
376,V1 ,V1_376,V Tidal Amplitude (CM/S) species1,v1,cm s-1, ,measured w/r true N
377,U2 ,U2_377,U Tidal Amplitude (CM/S) species2,u2,cm s-1, ,measured w/r true N
378,V2 ,V2_378,V Tidal Amplitude (CM/S) species2,v2,cm s-1, ,measured w/r true N
380,ZT ,ZT_380,"ZONAL TRANSPORT, M**2/SEC", ,m2 s-1, ,total transport per unit width
381,MT ,MT_381,"MERIDIONAL TRANSPRT,M^2/S",U,m2 s-1, ,total transport per unit width
382,ZT+,ZT+_382,ZONAL TRANSPORT (+)      ,V,m2 s-1, ,positive zonal transport per unit width
383,MT+,MT+_383,MERIDIONAL TRANSPORT (+) , ,m2 s-1, ,positive meridional transport per unit width
384,ZT-,ZT-_384,ZONAL TRANSPORT (-)      , ,m2 s-1, ,negative zonal transport per unit width
385,MT-,MT-_385,MERIDIONAL TRANSPORT (-) , ,m2 s-1, ,negative meridional transport per unit width
386,ZT ,ZT_386,"ZONAL TRANSPORT, M**3/SEC",U,m3 s-1, ,volume transport
387,MT ,MT_387,"MERIDIONAL TRANSPRT,M^3/S",V,m3 s-1, ,volume transport
388,TR ,TR_388,"TRK NORMAL TRNSPRT, M^3/S", ,m3 s-1, ,volume transport normal to track
390,ZU ,ZU_390,ZONAL TRANSPORT UPPER LIM, ,m2 s-1, ,transport per unit width
391,MU ,MU_391,MERIDIONAL TRNS UPPER LIM, ,m2 s-1, ,transport per unit width
392,ZL ,ZL_392,ZONAL TRANSPORT LOWER LIM, ,m2 s-1, ,transport per unit width
393,ML ,ML_393,MERIDIONAL TRNS LOWER LIM, ,m2 s-1, ,transport per unit width
394,ZCW,ZCW_394,ZONAL CURRENT WIDTH      , , , ,
395,MCW,MCW_395,MERIDIONAL CURRENT WIDTH , , , ,
396,Dx ,Dx_396,ZONAL MOORING LINE DRAG  , , , ,
397,Dy ,Dy_397,MERIDIANAL MOOR LINE DRAG, , , ,
398,DRG,DRG_398,DRAG ON MOORING LINE     , , , ,
400,WS ,WS_400,WIND SPEED (CM/S)        , ,cm s-1, ,
401,WS ,WS_401,WIND SPEED (M/S)         , ,m s-1, ,
402,WG ,WG_402,WIND GUST (M/S)          , ,m s-1, ,greatest speed in interval (drifters)
403,WS ,WS_403,Wind Speed               , ,knots,F6.2,Wind Speed
404,WS ,WS_404,Wind Speed               , ,m s-1, ,
405,RWS,RWS_405,Wind Speed (rel. to ship), ,m s-1, ,Relative Wind Speed
410,WD ,WD_410,WIND DIRECTION           , ,degrees, ,     0-360 degrees
411,WD ,WD_411,WIND DIRECTION           , ,degrees, ,     -180 to 180 degrees
412,WD ,WD_412,Wind Direction (from)    , ,degrees_T,F6.2,Wind Direction (from)
413,WD ,WD_413,Wind Direction (toward)  , ,degrees_T,F6.2,Wind Direction (toward)
414,RWD,RWD_414,Wind Dir. (rel. to bow)  , ,degrees, ,Relative Wind Direction
420,WU ,WU_420,WIND U (CM/S)            ,u,cm s-1, ,oceanographic sense (going to)
421,WV ,WV_421,WIND V (CM/S)            ,v,cm s-1, ,oceanographic sense (going to)
422,WU ,WU_422,WIND U (M/S)             ,u,m s-1, ,oceanographic sense (going to)
423,WV ,WV_423,WIND V (M/S)             ,v,m s-1, ,oceanographic sense (going to)
430,WU ,WU_430,Zonal Wind               ,u,m s-1, ,positive toward east
431,WV ,WV_431,Meridional Wind          ,v,m s-1, ,positive toward north
440,T-X,T-X_440,ZONAL WIND STRESS        ,u,dyne cm-2, ,Zonal Wind Stress
441,T-Y,T-Y_441,MERIDIONAL WIND STRESS   ,v,dyne cm-2, ,Meridional Wind Stress
442,PTx,PTx_442,ZONAL PSEUDO WIND STRESS , ,m2 s-2, ,Zonal pseudo wind stress
443,PTy,PTy_443,MERID PSEUDO WIND STRESS , ,m2 s-2, ,Meridional pseudo wind stress
444,Txy,Txy_444,TOTAL PSEUDO WIND STRESS , ,m2 s-2, ,sqrt(PTx**2 + PTy**2)  (Prog WNDSTR)
446, Tx,Tx_446,ZONAL WIND STRESS        , , , ,Zonal true wind stress
447, Ty,Ty_447,MERID WIND STRESS        , , , ,Meridional true wind stress
448,Txy,Txy_448,TOTAL WIND STRESS        , , , ,sqrt(Tx**2 + Ty**2) (Prog WNDSTR)
449,GP ,GP_449,Geopotential             ,GP,m2/s2,f10.2 ,geopotential energy
450,WW ,WW_450,WIND WORK                , ,m3 s-3, ,Wind work
460,U'X,U'X_460,GRADIENT DU/DX           , ,1E-5 s-1, ,X is longitude
461,V'X,V'X_461,GRADIENT DV/DX           , ,1E-5 s-1, ,X is longitude
462,U'Y,U'Y_462,GRADIENT DU/DY           , ,1E-5 s-1, ,Y is latitude
463,V'Y,V'Y_463,GRADIENT DV/DY           , ,1E-5 s-1, ,Y is latitude
464,U'Z,U'Z_464,GRADIENT DU/DZ           , ,s-1, ,Z is depth
465,V'Z,V'Z_465,GRADIENT DV/DZ           , ,s-1, ,Z is depth 
466,Shr,Shr_466,Current Shear            , ,s-1, ,SQRT(U'Z^2+V'Z^2)
480,OLR,OLR_480,OLR                      , ,W/M**2, ,Outgoing long wave radiation
485,RN ,RN_485,RAIN                     , ,MM, ,Rainfall derived from OLR
500,LAT,LAT_500,LATITUDE                 ,lat,degree_north,f10.4,"EPIC-- N is positive, S is negative"
501,LON,LON_501,LONGITUDE                ,lon,degree_west,f10.4,"Classic EPIC-- W is pos, eg, 165W=165, 170E=190"
502,LON,LON_502,LONGITUDE                ,lon,degree_east,f10.4,"New EPIC-- E is pos, eg, 165E=165, 170W=190"
510,LAT,LAT_510,PROJECTED LATITUDE       ,lat,degree_north,f10.4,"N is positive, S is negative"
511,LON,LON_511,PROJECTED LONGITUDE      ,lon,degree_west,f10.4,W is positive
512,LON,LON_512,PROJECTED LONGITUDE      ,lon,degree_east,f10.4,E is positive
513,XS ,XS_513,Section Distance         ,dist,km,f8.2,Positive toward end of section
514,YS ,YS_514,Transverse Distance      ,dist,km,f8.2,Positive counterclockwise from section
520,S  ,S_520,Distance                 ,dist,km,f8.2,
521,AD ,AD_521,Alongshore Distance      ,dist,km,f8.2,
522,OD ,OD_522,Offshore Distance        ,dist,km,f8.2,
600,TIM,TIM_600,TIME (EPIC)              ,time, ,f10.0,EPIC Time series time hhmm as real number
601,TIM,TIM_601,TIME                     ,time, , ,units since YYYY-MM-dd hh
620,DAT,DAT_620,DATE (EPIC)              ,time, ,f10.0,EPIC Time series date yymmdd as real number
621,DAT,DAT_621,MMDD.HHMM                ,time, , ,"Date,Time without year (mmdd.hhmm, real no)"
622,TIM,TIM_622,GREENWICH DAYS           ,time, , ,Days from the start of the century
623,TIM,TIM_623,GEOSAT DAYS              ,time, , ,Days after 85/01/01
624,TIM,TIM_624,EPIC SYSTEM TIME         ,time, , ,"2 integers, jul day, millisec since midnight"
625,TIM,TIM_625,SECONDS SINCE START      ,time,s, ,"integer, delta seconds"
626,TIM,TIM_626,DAYS SINCE START         ,time,d, ,"real, delta seconds"
627,TIM,TIM_627,Julian Days              ,time, , ,"Real number, decimal part gives time of day"
628,DUR,DUR_628,Sample Duration          , ,min, ,
650,H  ,H_650,LAYER THICKNESS          ,H,m, ,Mick Spillane's model
651,n  ,n_651,LAYER NUMBER             ,n, , ,Mick Spillane's model
700,SD ,SD_700,STANDARD DEVIATION       , , , ,
710,N  ,N_710,NUMBER OF POINTS         , , , ,
721,PG ,PG_721,PERCENT GOOD PINGS       , , , ,Acoustic Doppler
722,EV ,EV_722,ERROR VELOCITY           , , , ,RD Acoustic Doppler
723,AMP,AMP_723,AMPLITUDE                , , , ,RD Acoustic Doppler
810,SDD,SDD_810,STAND. DEV. (DYN.HT)     , , , ,
820,SDT,SDT_820,STAND. DEV. (TEMP)       , , , ,
840,SDS,SDS_840,STAND. DEV. (SAL)        , , , ,
841,SD+,SD+_841,SAL+STAND. DEV.          , , , ,
842,SD-,SD-_842,SAL-STAND. DEV.          , , , ,
843,S+2,S+2_843,SAL+2 STAND. DEV.        , , , ,
844,S-2,S-2_844,SAL-2 STAND. DEV.        , , , ,
850,SDP,SDP_850,STAND. DEV. (PRESS)     ,pres,mbar,f10.5,std. deviation of burst pressures
851,SED,SED_851,STAND. ERR. (DYN.HT)     , , , ,
852,SET,SET_852,STAND. ERR. (TEMP)       , , , ,
853,SES,SES_853,STAND. ERR. (SAL)        , , , ,
854,SEP,SEP_854,STAND. ERR. (PRESS)      , , , ,
900,Fvt,Fvt_900,Fluorometer Volts        , ,Volts, ,
901,Fvt,Fvt_901,Fluorometer Volts(CTD)   , ,Volts, , 
902,Irr,Irr_902,Irradiance(CTD)          , ,uEin cm-2 s-1, ,
903,F  ,F_903,Fluorometer (CTD)        , ,mg m-3, ,J.Murray 5/13/92
904,Tr ,Tr_904,Transmissometry (CTD)    , ,%, ,J.Murray 5/13/92
905,PAR,PAR_905,Photosynthetic Active Radiation,par,uEin m-2 s-1, ,J.Murray 5/13/92
906,Fch,Fch_906,Chlorophyll A            , ,ugrams/l, ,(fluorometric) J.Murray 5/9/94
907,Fph,Fph_907,Phaeopigments      , ,ugrams/l, ,(fluorometric) J.Murray 5/9/94
908,PAR,PAR_908,Photosynthetic Active Radiation,par,uEin cm-2 s-1, ,S.Salo 7/1/98
910,RH ,RH_910,RELATIVE HUMIDITY (%)    ,rh,%, ,PERCENT
911,RH ,RH_911,RELATIVE HUMIDITY MIN (%),rh,%, ,
912,RH ,RH_912,RELATIVE HUMIDITY MAX (%),rh,%, ,
913,SH ,SH_913,SPECIFIC HUMIDITY (G/KG) , ,g kg-1, ,For Ferret
915,BP ,BP_915,BAROMETRIC PRESSURE (MB) , ,mbar, ,
916,PAR,PAR_916,Photosynthetically Active Radiation,par,V,f5.2,PAR (instrument units)
917,PAR,PAR_917,Photosynthetically Active Radiation,par,umol photons m-2 s-1,F7.1,
920,CC ,CC_920,CLOUD COVER (OKTAS)      , , , ,OKTAS
921,CT ,CT_921,Cloud Type Code          , , , ,
922,VIS,VIS_922,Visibility Code          , , , ,
923,WC ,WC_923,Weather Code             , , , ,
924,SC ,SC_924,Seastate Code            , , , ,
925,D  ,D_925,Water Depth              ,depth,m,f10.1,
931,Chv,Chv_931,Chlorophyll-a Volts(CTD) , ,Volts, ,
932,Cla,Cla_932,Chlorophyll-a(CTD)       , ,ugrams/l, ,
933,Chl,Chl_933,Chlorophyll              , ,ug/L, ,
935,VA3,VA3_935,ChlAM Voltage            , ,volts, ,WetLabs A-3
936,AA3,AA3_936,Chlorophyll-a Absorption , ,m-1, , WetLabs A-3
937,CA3,CA3_937,Chlorophyll-a Conc       , ,ugrams/l, ,WetLabs A-3
938,CPHL,CPHL_938,Chlorophyll             , ,mg/m3, ,Chlorophyll from WOD2001
941,DB ,DB_941,Dry Bulb Temp            , ,degree C, ,
942,WB ,WB_942,Wet Bulb Temp            , ,degree C, ,
951,DP ,DP_951,Dew Point                , ,degree C, ,
961,Rn ,Rn_961,Rainfall                 , ,10-2 in, ,
962,Rr ,Rr_962,Rain Rate                , ,mm/hr, ,
971,rFv,rFv_971,raw fluorometer Volts(CTD)   , ,Volts, ,
972,rCv,rCv_972,raw chl-a Volts(CTD)     , ,Volts, ,
973,fWS,fWS_973,wetStar fluorometer chl  , ,ug/L, ,Wetlabs wetstar fluorometer chlorophyll
974,fSP,fSP_974,SeaPoint fluorometer chl , ,ug/L, ,Sea Point fluorometer chlorophyll
